dividend yield,company capitalization,volatility,company age,answer
25.1,875341709,51.7,7,high-risk
20.4,548220998,55.1,4,high-risk
19.2,979093446,23.7,7,high-risk
25.9,318241344,36.1,3,high-risk
23.7,433866576,56.4,4,high-risk
21.5,399485704,41.5,7,high-risk
23,262462476,63.7,1,high-risk
22,443448886,64.2,5,high-risk
24.3,269585140,55.5,4,high-risk
25,246543600,28,1,high-risk
19.3,549459299,27.6,6,high-risk
22.5,836386491,52.5,8,high-risk
22.2,23257700,48.8,5,high-risk
21.1,800471029,52.1,6,high-risk
19.7,708148781,46.6,6,high-risk
19.4,882607308,14.7,1,high-risk
24.6,621734240,35.4,8,high-risk
22.8,304592408,16.3,4,high-risk
21.1,805267384,54.5,8,high-risk
24.8,513159143,42.9,8,high-risk
24.4,503456913,18.9,2,high-risk
26,361093873,11,5,high-risk
15.7,14430761,36.5,1,high-risk
25.4,934560440,24.2,7,high-risk
17.6,384284593,31.2,2,high-risk
17,510217964,51.3,3,high-risk
15.3,143225809,51.4,7,high-risk
21,679565816,29.1,6,high-risk
19.7,452966010,53.5,3,high-risk
18.8,619531662,35.7,3,high-risk
22.5,848460051,64.6,5,high-risk
21.9,415375146,57.3,3,high-risk
22.9,512254448,64,2,high-risk
20.3,269293749,45.3,5,high-risk
21.9,437430331,25.5,8,high-risk
15.4,402270727,47.5,6,high-risk
25.6,903918232,17.1,6,high-risk
18.4,308825957,44.5,6,high-risk
25.2,181755340,23.9,2,high-risk
15.6,302841916,23.2,7,high-risk
18.7,23755295,21.3,8,high-risk
18.9,681013244,21.5,3,high-risk
15.9,249092859,43.2,8,high-risk
16.8,291975649,41,5,high-risk
22,838168659,22.6,7,high-risk
19.6,417625031,43.1,2,high-risk
20.4,657932659,14,7,high-risk
24.7,65652916,14,1,high-risk
18.5,130901708,29.1,5,high-risk
25.8,437057332,62.6,8,high-risk
13.4,1626201505,14.6,19,medium-risk
11.5,3902978041,13.1,12,medium-risk
15.6,771673483,26.4,18,medium-risk
15,4153493766,22.8,15,medium-risk
12.6,5988229620,25.6,18,medium-risk
12.3,3039750928,10.8,18,medium-risk
14.5,4146352926,18.6,6,medium-risk
12.8,5179249079,23.2,18,medium-risk
16.7,378046329,27,10,medium-risk
15.3,9271266281,23.6,5,medium-risk
15.4,6565647196,26.8,12,medium-risk
11.8,2404482090,22.8,5,medium-risk
11.7,61140461,23,22,medium-risk
12.2,1377731124,11.8,17,medium-risk
14,7367862386,14.5,9,medium-risk
15.8,9414698924,24.5,11,medium-risk
15.2,1856388687,29.2,9,medium-risk
15.1,51896639,29.3,5,medium-risk
12.5,242483128,23.6,9,medium-risk
13,9221649765,24.2,6,medium-risk
14.6,2254030338,10.9,16,medium-risk
10.7,79882317,13.9,15,medium-risk
15.2,8544474221,22.3,10,medium-risk
10.1,414371892,18.2,10,medium-risk
11,7430154320,12.1,6,medium-risk
12.8,5003080128,14.2,16,medium-risk
15.9,6192598981,27.1,9,medium-risk
14.2,9519797767,18.6,13,medium-risk
14.2,1642965368,16.9,20,medium-risk
14.9,8254281011,14.3,17,medium-risk
16.3,9404846475,29.7,12,medium-risk
10.4,105410141,21.3,11,medium-risk
14.2,7643239478,14.9,12,medium-risk
14.9,7535719256,14.4,7,medium-risk
15.7,6987926330,15.5,9,medium-risk
15,7556467625,24,16,medium-risk
11.3,1979451104,29.5,11,medium-risk
15.7,6419732405,30.5,16,medium-risk
14.1,4697576624,29,14,medium-risk
15.3,7143783031,28.1,22,medium-risk
12.9,7957071285,30.6,18,medium-risk
12.9,8244170253,29.2,9,medium-risk
12.4,4612168957,23.6,5,medium-risk
10.2,8934943097,23.3,18,medium-risk
10.7,1701486033,25.5,16,medium-risk
14.6,2584555609,28.8,22,medium-risk
15.9,1733759554,17.2,22,medium-risk
15.1,9952202876,22.8,10,medium-risk
14.2,9594871839,25.8,21,medium-risk
10.5,3793315624,16.2,13,medium-risk
8.2,819666960359,6.3,24,low-risk
12.4,845262222919,15,20,low-risk
8.9,125105578993,14.2,26,low-risk
8.2,461813902971,13.2,32,low-risk
11.5,24156171340,20.5,12,low-risk
10.9,960438221528,10.9,17,low-risk
11.9,811849771821,8.5,43,low-risk
9.8,504213965574,13,32,low-risk
13.3,403256098501,19.8,27,low-risk
7.9,491177893727,12.1,39,low-risk
7.4,672835107951,15.5,40,low-risk
6.1,810709698755,20.9,42,low-risk
12.9,458954920336,10.9,34,low-risk
13.3,998362620274,17.9,13,low-risk
7.2,494551701710,13.5,29,low-risk
12.5,2911816344,3.6,16,low-risk
10.5,608118286648,4.9,14,low-risk
11.4,656160357810,4.2,40,low-risk
11.7,119881096942,10.6,47,low-risk
13,135124900273,12.5,29,low-risk
8,285249898680,12.5,21,low-risk
7,505646696939,10.2,33,low-risk
12.7,951985454185,10.1,13,low-risk
10.8,964697814146,6.9,44,low-risk
6.6,794801024256,6.6,13,low-risk
7.3,329533676431,12.6,17,low-risk
7.9,775046799827,6.2,47,low-risk
12,192999769851,7.7,42,low-risk
9.7,995140439521,7.9,27,low-risk
13.6,564246415247,14.6,41,low-risk
10.5,231963131666,16.9,46,low-risk
7.2,671001565234,18.2,38,low-risk
9.1,953902625057,21.5,19,low-risk
11.8,422306771997,20.3,24,low-risk
12.6,64620615155,16.6,42,low-risk
13.7,148228245326,5.3,32,low-risk
8.1,432231929214,4.1,48,low-risk
10.5,57880781403,18.8,16,low-risk
10,139072249855,11.6,49,low-risk
10,128838545442,3.8,12,low-risk
13.4,426015290826,10.4,41,low-risk
12.5,176738749599,21.4,49,low-risk
9.9,353913131934,16.7,38,low-risk
9.1,798966163416,15.3,30,low-risk
13.6,21633647694,15.2,40,low-risk
8.1,964917086651,8,29,low-risk
8.6,761781605405,7.1,19,low-risk
11.1,787589670660,14.2,25,low-risk
11.6,506955222078,3.7,19,low-risk
13.2,590367129266,16.6,38,low-risk
