dividend yield,company capitalization,volatility,company age,answer
0.25,0.08,0.30,0.1,high-risk
0.20,0.01,0.55,0.3,high-risk
0.19,0.02,0.41,0.8,high-risk
0.26,0.02,0.45,0.5,high-risk
0.24,0.08,0.42,0.1,high-risk
0.22,0.01,0.46,0.4,high-risk
0.23,0.09,0.25,0.8,high-risk
0.22,0.10,0.15,0.4,high-risk
0.24,0.00,0.31,0.4,high-risk
0.25,0.05,0.33,0.3,high-risk
0.19,0.08,0.14,0.4,high-risk
0.23,0.02,0.63,0.7,high-risk
0.22,0.10,0.25,0.6,high-risk
0.21,0.08,0.18,0.2,high-risk
0.20,0.05,0.40,0.4,high-risk
0.19,0.03,0.64,0.7,high-risk
0.25,0.05,0.59,0.7,high-risk
0.23,0.03,0.50,0.6,high-risk
0.21,0.03,0.66,0.6,high-risk
0.25,0.06,0.12,0.4,high-risk
0.24,0.05,0.48,0.1,high-risk
0.26,0.08,0.61,0.6,high-risk
0.16,0.03,0.48,0.8,high-risk
0.25,0.02,0.61,0.3,high-risk
0.18,0.03,0.36,0.1,high-risk
0.17,0.10,0.10,0.5,high-risk
0.15,0.01,0.29,0.2,high-risk
0.21,0.08,0.13,0.5,high-risk
0.20,0.06,0.52,0.2,high-risk
0.19,0.05,0.28,0.2,high-risk
0.23,0.10,0.44,0.8,high-risk
0.22,0.05,0.45,0.5,high-risk
0.23,0.01,0.24,0.7,high-risk
0.20,0.01,0.56,0.5,high-risk
0.22,0.08,0.60,0.6,high-risk
0.15,0.02,0.21,0.2,high-risk
0.26,0.01,0.49,0.3,high-risk
0.18,0.01,0.40,0.2,high-risk
0.25,0.06,0.66,0.8,high-risk
0.16,0.10,0.60,0.5,high-risk
0.19,0.00,0.42,0.3,high-risk
0.19,0.07,0.56,0.7,high-risk
0.16,0.07,0.45,0.1,high-risk
0.17,0.08,0.21,0.8,high-risk
0.22,0.05,0.30,0.5,high-risk
0.20,0.05,0.25,0.1,high-risk
0.20,0.07,0.15,0.6,high-risk
0.25,0.01,0.14,0.4,high-risk
0.19,0.06,0.56,0.1,high-risk
0.26,0.08,0.60,0.3,high-risk
0.16,0.71,0.20,1.8,medium-risk
0.11,0.10,0.29,0.6,medium-risk
0.15,0.71,0.12,1.7,medium-risk
0.16,0.69,0.15,1.7,medium-risk
0.17,0.57,0.12,0.7,medium-risk
0.14,0.36,0.27,1.7,medium-risk
0.15,0.61,0.28,1.6,medium-risk
0.16,0.81,0.26,1.1,medium-risk
0.13,0.67,0.28,1.4,medium-risk
0.12,0.59,0.22,0.7,medium-risk
0.11,0.93,0.12,1.1,medium-risk
0.12,0.21,0.30,1.4,medium-risk
0.14,0.68,0.15,1.6,medium-risk
0.13,0.00,0.11,0.7,medium-risk
0.14,0.17,0.30,0.9,medium-risk
0.16,0.63,0.22,2.2,medium-risk
0.12,0.78,0.30,1.1,medium-risk
0.16,0.56,0.19,0.9,medium-risk
0.15,0.25,0.16,1.6,medium-risk
0.15,0.91,0.21,1.1,medium-risk
0.12,0.10,0.17,1.7,medium-risk
0.11,0.52,0.19,0.5,medium-risk
0.12,0.40,0.17,2.0,medium-risk
0.14,0.43,0.15,2.1,medium-risk
0.13,0.64,0.15,2.0,medium-risk
0.16,0.92,0.30,1.0,medium-risk
0.10,0.25,0.12,1.7,medium-risk
0.10,0.06,0.24,0.5,medium-risk
0.14,0.29,0.14,0.6,medium-risk
0.16,0.17,0.21,2.0,medium-risk
0.13,0.15,0.18,1.4,medium-risk
0.17,0.46,0.30,0.9,medium-risk
0.16,0.17,0.26,2.1,medium-risk
0.14,0.63,0.23,1.9,medium-risk
0.10,0.19,0.31,1.3,medium-risk
0.15,0.09,0.20,1.0,medium-risk
0.10,0.29,0.30,0.7,medium-risk
0.10,0.25,0.24,1.9,medium-risk
0.15,0.69,0.29,1.6,medium-risk
0.13,0.23,0.10,2.2,medium-risk
0.13,0.33,0.28,0.9,medium-risk
0.13,0.21,0.21,1.7,medium-risk
0.10,0.90,0.16,0.5,medium-risk
0.14,0.58,0.26,2.0,medium-risk
0.15,0.29,0.15,1.3,medium-risk
0.10,0.72,0.23,1.6,medium-risk
0.11,0.96,0.25,1.7,medium-risk
0.14,0.44,0.12,1.6,medium-risk
0.15,0.66,0.13,0.7,medium-risk
0.13,0.28,0.20,1.0,medium-risk
0.10,4.85,0.07,4.3,low-risk
0.13,8.49,0.04,2.2,low-risk
0.09,47.15,0.04,1.4,low-risk
0.07,77.04,0.07,1.9,low-risk
0.07,10.46,0.11,1.6,low-risk
0.06,49.20,0.17,2.9,low-risk
0.07,93.91,0.12,2.9,low-risk
0.10,84.99,0.19,3.7,low-risk
0.07,64.72,0.15,4.9,low-risk
0.12,90.93,0.09,3.3,low-risk
0.10,81.43,0.07,2.8,low-risk
0.13,66.93,0.18,1.3,low-risk
0.09,20.45,0.21,1.8,low-risk
0.13,83.44,0.11,1.6,low-risk
0.13,44.24,0.13,3.7,low-risk
0.07,64.89,0.21,4.4,low-risk
0.07,83.72,0.16,2.0,low-risk
0.07,1.97,0.14,5.0,low-risk
0.14,32.04,0.13,2.4,low-risk
0.06,95.10,0.22,2.2,low-risk
0.08,44.46,0.15,2.6,low-risk
0.07,35.59,0.11,4.4,low-risk
0.12,67.11,0.12,1.4,low-risk
0.13,90.33,0.07,3.4,low-risk
0.13,34.36,0.03,4.7,low-risk
0.10,65.82,0.09,4.3,low-risk
0.11,68.88,0.19,1.3,low-risk
0.08,69.42,0.07,2.8,low-risk
0.08,24.88,0.09,3.2,low-risk
0.08,60.81,0.21,1.6,low-risk
0.13,49.85,0.11,3.5,low-risk
0.12,28.33,0.12,2.2,low-risk
0.07,18.29,0.20,3.8,low-risk
0.08,36.55,0.08,2.2,low-risk
0.12,54.39,0.06,4.3,low-risk
0.07,61.80,0.17,2.6,low-risk
0.14,3.75,0.04,1.3,low-risk
0.09,65.26,0.20,3.4,low-risk
0.12,7.58,0.10,1.9,low-risk
0.14,92.92,0.08,3.9,low-risk
0.06,47.48,0.15,1.5,low-risk
0.10,43.67,0.04,3.0,low-risk
0.14,64.36,0.04,2.5,low-risk
0.13,9.00,0.07,4.7,low-risk
0.12,61.08,0.17,4.9,low-risk
0.11,68.56,0.20,3.0,low-risk
0.07,1.27,0.16,4.5,low-risk
0.08,76.55,0.17,3.8,low-risk
0.11,45.23,0.09,4.6,low-risk
0.12,06.01,0.17,5.0,low-risk
